epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,9870.21,0.54578,0.5906,1.02558,0.9629,0.93719,0.98405,0.92248,0.36474,0.38168,0.88405,0.00056725,0.00056725,0.00056725
58,10063.7,0.54749,0.61873,1.06172,0.93994,0.97921,0.99417,0.92393,0.38618,0.39689,0.89351,0.000566219,0.000566219,0.000566219
59,10262.5,0.5694,0.59234,1.04552,0.97691,0.96723,0.995,0.93397,0.36567,0.3837,0.89569,0.000565188,0.000565188,0.000565188
60,10457.3,0.57264,0.6433,1.06647,0.90317,0.95648,0.96905,0.89436,0.38509,0.47714,0.88457,0.000564156,0.000564156,0.000564156
61,10647.9,0.55176,0.52809,1.01685,0.96592,0.90752,0.98406,0.93179,0.34386,0.40985,0.87777,0.000563125,0.000563125,0.000563125
62,10838.9,0.52001,0.63437,1.0129,0.97734,0.98172,0.995,0.92564,0.37526,0.39028,0.88502,0.000562094,0.000562094,0.000562094
63,11015.2,0.51834,0.59657,1.00508,0.98566,0.9755,0.98767,0.92791,0.3506,0.43208,0.87672,0.000561063,0.000561063,0.000561063
64,11187.5,0.56751,0.5581,1.03813,0.95372,0.96633,0.98229,0.92095,0.3567,0.37064,0.88288,0.000560031,0.000560031,0.000560031
65,11373.2,0.563,0.57224,1.05398,0.9305,0.97555,0.98322,0.93523,0.35756,0.37023,0.88382,0.000559,0.000559,0.000559
66,11576.3,0.51706,0.52181,0.96234,0.97611,0.90207,0.99192,0.91162,0.39951,0.42049,0.89389,0.000557969,0.000557969,0.000557969
67,11782.1,0.72165,0.60207,1.20915,0.91452,0.97657,0.995,0.92097,0.38873,0.37952,0.90253,0.000556938,0.000556938,0.000556938
68,11995.2,0.65886,0.59841,1.12615,0.96045,0.99482,0.995,0.92256,0.38003,0.33467,0.89771,0.000555906,0.000555906,0.000555906
69,12194.9,0.58154,0.58789,1.05641,0.97773,0.96183,0.99269,0.94349,0.3738,0.34994,0.88999,0.000554875,0.000554875,0.000554875
70,12378.1,0.5243,0.57943,1.01041,0.99084,0.98806,0.995,0.93969,0.3508,0.2975,0.87245,0.000553844,0.000553844,0.000553844
71,12558.9,0.49071,0.51966,0.98011,0.95432,0.94,0.98944,0.9465,0.33805,0.39862,0.86764,0.000552813,0.000552813,0.000552813
72,12742.6,0.55555,0.56386,1.01351,0.97268,0.9768,0.9875,0.92868,0.33148,0.3177,0.86828,0.000551781,0.000551781,0.000551781
73,12921.4,0.61388,0.61465,1.11937,0.96944,0.98148,0.99094,0.93852,0.35964,0.32263,0.88056,0.00055075,0.00055075,0.00055075
74,13107.9,0.5382,0.51441,1.01088,0.95837,0.93787,0.97807,0.93706,0.33716,0.36935,0.87386,0.000549719,0.000549719,0.000549719
75,13294.5,0.66858,0.59203,1.14726,0.97464,0.93802,0.98083,0.92353,0.35299,0.36382,0.87699,0.000548688,0.000548688,0.000548688
76,13483.2,0.54691,0.55161,1.01411,0.98242,0.95982,0.995,0.931,0.37366,0.32291,0.88252,0.000547656,0.000547656,0.000547656
77,13671.2,0.49368,0.5198,0.98996,0.98652,0.93105,0.99278,0.92866,0.36427,0.3551,0.8779,0.000546625,0.000546625,0.000546625
78,13856.8,0.4957,0.5154,1.00183,0.94583,0.93247,0.9776,0.92752,0.34236,0.37041,0.86776,0.000545594,0.000545594,0.000545594
79,14043.5,0.48825,0.51185,1.00424,0.98061,0.96482,0.995,0.94697,0.31234,0.30551,0.85856,0.000544563,0.000544563,0.000544563
80,14228.8,0.47136,0.50461,0.97835,0.96722,0.96387,0.99153,0.95259,0.33708,0.31279,0.86757,0.000543531,0.000543531,0.000543531
81,14416.1,0.49573,0.49811,1.01317,0.94534,0.97332,0.98809,0.93789,0.35124,0.32146,0.87565,0.0005425,0.0005425,0.0005425
82,14605.7,0.47193,0.52266,0.98386,0.95803,0.94302,0.98565,0.92999,0.37412,0.37919,0.88508,0.000541469,0.000541469,0.000541469
83,14790.2,0.49244,0.5253,0.99281,0.94858,0.97094,0.98878,0.93494,0.33975,0.33404,0.87088,0.000540438,0.000540438,0.000540438
84,14978.2,0.54152,0.5321,1.01768,0.94418,0.93733,0.96775,0.90159,0.36943,0.43574,0.89027,0.000539406,0.000539406,0.000539406
85,15166.8,0.54894,0.61712,1.06549,0.91604,0.90796,0.96481,0.90667,0.34928,0.51544,0.88956,0.000538375,0.000538375,0.000538375
86,15356.2,0.5243,0.48875,1.03297,0.96757,0.98718,0.98895,0.92736,0.36616,0.34162,0.88877,0.000537344,0.000537344,0.000537344
87,15541.2,0.55063,0.53773,1.01608,0.98257,0.98718,0.99344,0.93944,0.36473,0.30325,0.88739,0.000536313,0.000536313,0.000536313
88,15727.6,0.53534,0.51508,1.01503,0.968,0.95974,0.99344,0.93088,0.35367,0.32397,0.87576,0.000535281,0.000535281,0.000535281
89,15913.5,0.48869,0.46186,0.97968,0.96279,0.95461,0.98955,0.93376,0.34518,0.34083,0.8761,0.00053425,0.00053425,0.00053425
90,16095.7,0.53311,0.50437,1.04862,0.96157,0.94996,0.99317,0.91191,0.41218,0.37058,0.89893,0.000533219,0.000533219,0.000533219
91,16270.3,0.53092,0.49684,1.00603,0.98324,0.95222,0.995,0.93174,0.35948,0.30852,0.88153,0.000532187,0.000532187,0.000532187
92,16422.5,0.53686,0.46873,1.01919,0.9768,0.9455,0.98864,0.93378,0.35025,0.30286,0.87913,0.000531156,0.000531156,0.000531156
93,16575.6,0.5219,0.50702,1.01813,0.97458,0.98351,0.995,0.92665,0.35846,0.28818,0.88065,0.000530125,0.000530125,0.000530125
94,16728.9,0.48755,0.48668,0.99643,0.99027,0.98399,0.995,0.97144,0.33029,0.26731,0.87135,0.000529094,0.000529094,0.000529094
95,16882.7,0.51485,0.56289,1.00618,0.9849,0.98148,0.99317,0.9417,0.34701,0.26734,0.90071,0.000528062,0.000528062,0.000528062
96,17037.3,0.49526,0.46166,0.98369,0.9683,0.98439,0.995,0.93748,0.35795,0.29068,0.89967,0.000527031,0.000527031,0.000527031
97,17198.5,0.50486,0.4732,0.99336,0.98661,0.96476,0.995,0.93768,0.36806,0.2789,0.88425,0.000526,0.000526,0.000526
98,17360.8,0.49585,0.4854,0.97612,0.97102,0.96276,0.995,0.94369,0.34619,0.26861,0.87679,0.000524969,0.000524969,0.000524969
99,17520.3,0.54098,0.50936,1.00216,0.98995,0.97447,0.995,0.94381,0.35197,0.27893,0.87153,0.000523937,0.000523937,0.000523937
100,17674.9,0.53747,0.48569,1.03027,0.989,0.9796,0.995,0.9407,0.34272,0.28413,0.8743,0.000522906,0.000522906,0.000522906
101,17834.3,0.4873,0.46709,1.00225,0.98738,0.98182,0.995,0.94995,0.33993,0.26704,0.8699,0.000521875,0.000521875,0.000521875
102,18004.2,0.50945,0.5095,1.0064,0.9818,0.9929,0.995,0.9588,0.33251,0.26123,0.86025,0.000520844,0.000520844,0.000520844
103,18170,0.51261,0.47094,0.97535,0.99022,1,0.995,0.94761,0.34782,0.26505,0.86282,0.000519812,0.000519812,0.000519812
104,18335.3,0.50917,0.48942,1.00384,0.99189,0.99867,0.995,0.94295,0.34889,0.2781,0.87314,0.000518781,0.000518781,0.000518781
105,18488.5,0.54893,0.5085,1.02594,0.94998,0.98045,0.99375,0.91413,0.39422,0.48178,0.93009,0.00051775,0.00051775,0.00051775
106,18639.2,0.4996,0.48283,0.99774,0.95948,0.98154,0.99417,0.94128,0.33744,0.35778,0.86895,0.000516719,0.000516719,0.000516719
107,18792.3,0.49983,0.59086,1.00206,0.98765,1,0.995,0.95473,0.33348,0.26626,0.86586,0.000515688,0.000515688,0.000515688
108,18945.8,0.50999,0.6226,1.0233,0.98481,1,0.995,0.947,0.34442,0.26604,0.8714,0.000514656,0.000514656,0.000514656
109,19101.1,0.57794,0.54212,1.04038,0.97203,0.99776,0.995,0.94577,0.34163,0.2757,0.8816,0.000513625,0.000513625,0.000513625
110,19256,0.52469,0.45431,1.03813,0.97282,1,0.995,0.93868,0.34877,0.28438,0.88659,0.000512594,0.000512594,0.000512594
111,19413.2,0.46295,0.43518,0.98985,0.99024,0.99623,0.995,0.95127,0.32123,0.2524,0.86893,0.000511562,0.000511562,0.000511562
112,19567.9,0.45828,0.53116,0.98706,0.9838,0.95792,0.995,0.94574,0.3248,0.32403,0.87335,0.000510531,0.000510531,0.000510531
113,19722.3,0.45259,0.44017,0.98443,0.93011,0.9571,0.98548,0.93398,0.34239,0.38637,0.87901,0.0005095,0.0005095,0.0005095
114,19881.7,0.4871,0.47937,0.98447,0.98574,0.99536,0.995,0.95032,0.33277,0.26799,0.87331,0.000508469,0.000508469,0.000508469
115,20038.5,0.46903,0.45401,0.98268,0.99131,1,0.995,0.9615,0.31998,0.26691,0.86299,0.000507438,0.000507438,0.000507438
116,20196,0.46269,0.43368,0.99382,0.99016,0.98884,0.995,0.95826,0.32252,0.26892,0.85898,0.000506406,0.000506406,0.000506406
117,20352.9,0.47028,0.41157,0.98825,0.98803,1,0.995,0.95846,0.32454,0.24548,0.86151,0.000505375,0.000505375,0.000505375
118,20510.5,0.56327,0.50622,1.05505,0.9824,1,0.995,0.95487,0.33772,0.26303,0.86495,0.000504344,0.000504344,0.000504344
119,20668.5,0.44535,0.42072,0.976,0.96913,0.99809,0.99133,0.94037,0.3356,0.2534,0.86637,0.000503313,0.000503313,0.000503313
120,20826.5,0.51234,0.73767,0.99739,0.96962,0.96633,0.98864,0.93808,0.34829,0.2961,0.8606,0.000502281,0.000502281,0.000502281
121,20984.6,0.50574,0.52021,1.00393,0.95166,0.95405,0.98191,0.93657,0.33444,0.31042,0.86112,0.00050125,0.00050125,0.00050125
122,21142.6,0.50564,0.60451,1.0437,0.95466,0.96672,0.98704,0.92197,0.34176,0.30552,0.87363,0.000500219,0.000500219,0.000500219
123,21299.6,0.59893,0.50696,1.09061,0.96203,0.99252,0.995,0.94046,0.33362,0.29353,0.86456,0.000499187,0.000499187,0.000499187
124,21459.7,0.5545,0.56083,1.06241,0.98867,1,0.995,0.959,0.32798,0.24434,0.86044,0.000498156,0.000498156,0.000498156
125,21615.9,0.49421,0.48613,0.99732,0.99032,1,0.995,0.95117,0.31973,0.23491,0.8594,0.000497125,0.000497125,0.000497125
126,21770.9,0.49047,0.47231,0.9817,0.98305,0.98143,0.995,0.9521,0.31885,0.23996,0.85383,0.000496094,0.000496094,0.000496094
127,21923,0.45787,0.65009,0.9854,0.98451,0.97744,0.995,0.9557,0.32192,0.25432,0.85663,0.000495063,0.000495063,0.000495063
128,22075.9,0.47433,0.39467,1.01186,0.97795,0.96743,0.99375,0.94123,0.32955,0.28113,0.85713,0.000494031,0.000494031,0.000494031
129,22229.9,0.44005,0.39461,0.97126,0.96401,0.95564,0.99375,0.94575,0.32336,0.29284,0.86201,0.000493,0.000493,0.000493
