epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,2071.16,0.46845,0.67111,0.92854,0.91803,0.92738,0.95593,0.90511,0.32595,0.71632,0.85445,0.000561063,0.000561063,0.000561063
64,2108.45,0.49865,0.61645,0.94272,0.92459,0.94904,0.97547,0.92666,0.34774,0.64161,0.86082,0.000560031,0.000560031,0.000560031
65,2145.06,0.51162,0.65914,0.96036,0.97929,0.9559,0.995,0.94455,0.34856,0.5601,0.86085,0.000559,0.000559,0.000559
66,2183.77,0.49112,0.71376,0.88376,0.98779,0.98328,0.995,0.93602,0.35001,0.49951,0.86187,0.000557969,0.000557969,0.000557969
67,2222.22,0.64923,0.61197,1.17717,0.96003,0.97248,0.99375,0.94797,0.32384,0.52632,0.86353,0.000556938,0.000556938,0.000556938
68,2260.37,0.54214,0.66436,0.97658,0.93392,0.99361,0.995,0.93752,0.33423,0.53681,0.86069,0.000555906,0.000555906,0.000555906
69,2297.76,0.50876,0.70646,0.95556,0.94189,0.93187,0.9925,0.94764,0.32369,0.61533,0.855,0.000554875,0.000554875,0.000554875
70,2334.84,0.50786,0.64256,0.94533,0.98471,0.99507,0.995,0.94824,0.32668,0.46732,0.85506,0.000553844,0.000553844,0.000553844
71,2369.72,0.52338,0.60087,0.92699,0.99218,0.99112,0.995,0.95265,0.31926,0.47052,0.85592,0.000552813,0.000552813,0.000552813
72,2406.19,0.50911,0.6082,0.92149,0.99333,0.99248,0.995,0.95173,0.31219,0.44825,0.85438,0.000551781,0.000551781,0.000551781
73,2441.06,0.57204,0.66668,1.00194,0.98631,0.97457,0.995,0.95711,0.33933,0.49047,0.8614,0.00055075,0.00055075,0.00055075
74,2476.43,0.53557,0.63156,0.94844,0.97602,0.97058,0.99375,0.9453,0.3289,0.47291,0.85779,0.000549719,0.000549719,0.000549719
75,2513.87,0.62373,0.68153,1.05008,0.98897,0.99702,0.995,0.94616,0.34725,0.46224,0.85849,0.000548688,0.000548688,0.000548688
76,2548.85,0.51526,0.61874,0.95269,0.96898,0.97029,0.98875,0.9358,0.37295,0.52139,0.87006,0.000547656,0.000547656,0.000547656
77,2584.59,0.48269,0.55706,0.95811,0.96414,0.96712,0.98028,0.92729,0.37455,0.52635,0.87389,0.000546625,0.000546625,0.000546625
78,2620.91,0.47667,0.55654,0.9378,0.97471,0.95153,0.96818,0.91159,0.36358,0.54207,0.8683,0.000545594,0.000545594,0.000545594
79,2654.84,0.46357,0.5096,0.94535,0.97851,0.96747,0.98125,0.93506,0.338,0.48906,0.86704,0.000544563,0.000544563,0.000544563
80,2690.34,0.4558,0.51093,0.91127,0.96836,0.9665,0.99153,0.93282,0.35824,0.4948,0.86536,0.000543531,0.000543531,0.000543531
81,2727.94,0.49079,0.57935,0.93326,0.98267,0.96973,0.995,0.95451,0.33177,0.45959,0.86185,0.0005425,0.0005425,0.0005425
82,2764.94,0.46378,0.51947,0.91129,0.991,0.98986,0.995,0.93213,0.35833,0.4389,0.86142,0.000541469,0.000541469,0.000541469
83,2800.97,0.46279,0.55684,0.92201,0.93155,0.96466,0.98975,0.94589,0.33311,0.49174,0.85799,0.000540438,0.000540438,0.000540438
84,2837.45,0.47656,0.57254,0.9507,0.98301,0.9685,0.995,0.9456,0.37005,0.46579,0.86502,0.000539406,0.000539406,0.000539406
85,2874.16,0.52357,0.57837,0.99534,0.9934,0.96911,0.995,0.95538,0.31349,0.38348,0.8521,0.000538375,0.000538375,0.000538375
86,2910.78,0.4921,0.52604,0.95612,0.99037,0.95614,0.995,0.94007,0.34954,0.42263,0.86184,0.000537344,0.000537344,0.000537344
87,2947.58,0.52942,0.51999,0.95066,0.98088,0.95492,0.995,0.94309,0.36044,0.46452,0.85959,0.000536313,0.000536313,0.000536313
88,2984,0.50629,0.54466,0.94973,0.96093,0.9487,0.98525,0.94136,0.34267,0.48746,0.85837,0.000535281,0.000535281,0.000535281
89,3019.88,0.44214,0.49398,0.92421,0.97732,0.94319,0.98547,0.93122,0.34498,0.47089,0.85911,0.00053425,0.00053425,0.00053425
90,3056.8,0.49083,0.6008,0.96761,0.9835,0.9776,0.98698,0.92225,0.3466,0.44205,0.86363,0.000533219,0.000533219,0.000533219
91,3094.06,0.48805,0.51353,0.93297,0.98914,0.96143,0.99192,0.9417,0.32891,0.39881,0.85975,0.000532187,0.000532187,0.000532187
92,3131.08,0.46455,0.51199,0.91941,0.9887,0.9652,0.995,0.95654,0.32606,0.38729,0.85412,0.000531156,0.000531156,0.000531156
93,3167.94,0.48041,0.531,0.91739,0.98468,0.99392,0.995,0.95812,0.32556,0.39988,0.85633,0.000530125,0.000530125,0.000530125
94,3205.1,0.44234,0.47381,0.93989,0.98945,1,0.995,0.94408,0.34154,0.37836,0.86074,0.000529094,0.000529094,0.000529094
95,3242.09,0.47176,0.57579,0.92698,0.993,1,0.995,0.93403,0.36498,0.3623,0.87965,0.000528062,0.000528062,0.000528062
96,3278.87,0.46877,0.54783,0.93055,0.9706,0.96351,0.995,0.94068,0.34131,0.41237,0.86536,0.000527031,0.000527031,0.000527031
97,3315.57,0.47208,0.49796,0.9297,0.9853,0.97663,0.995,0.94042,0.33992,0.39103,0.86171,0.000526,0.000526,0.000526
98,3352.48,0.48447,0.51337,0.92478,0.98547,0.99348,0.995,0.94888,0.3403,0.37479,0.86037,0.000524969,0.000524969,0.000524969
99,3389.5,0.50517,0.5632,0.9435,0.98475,0.98454,0.995,0.94281,0.35623,0.38368,0.87075,0.000523937,0.000523937,0.000523937
100,3426.25,0.49066,0.5359,0.94108,0.9585,0.99293,0.995,0.94019,0.33132,0.39005,0.86893,0.000522906,0.000522906,0.000522906
101,3463.49,0.4697,0.54008,0.94272,0.92942,0.98076,0.99317,0.94243,0.32107,0.39106,0.85697,0.000521875,0.000521875,0.000521875
102,3500.47,0.48384,0.58258,0.9288,0.96686,0.97718,0.995,0.94456,0.32707,0.3875,0.85533,0.000520844,0.000520844,0.000520844
103,3537.67,0.45798,0.48789,0.91389,0.9886,0.95552,0.99192,0.92458,0.37374,0.4155,0.86963,0.000519812,0.000519812,0.000519812
104,3574.43,0.46374,0.46835,0.92108,0.99421,0.94989,0.995,0.94463,0.32829,0.38674,0.85861,0.000518781,0.000518781,0.000518781
105,3610.82,0.51872,0.50008,0.96057,0.97232,0.95469,0.99278,0.95444,0.31805,0.41492,0.85105,0.00051775,0.00051775,0.00051775
106,3647.61,0.4735,0.46027,0.93756,0.9746,0.91798,0.98225,0.94186,0.33174,0.46266,0.85726,0.000516719,0.000516719,0.000516719
107,3684.4,0.47845,0.62157,0.95295,0.94072,0.98676,0.995,0.93432,0.35167,0.40622,0.8718,0.000515688,0.000515688,0.000515688
108,3721.3,0.49672,0.4606,0.97771,0.97861,0.95796,0.99417,0.93406,0.35207,0.39945,0.85986,0.000514656,0.000514656,0.000514656
109,3758.62,0.55045,0.5762,0.95806,0.98063,0.96513,0.995,0.93891,0.35173,0.37791,0.85831,0.000513625,0.000513625,0.000513625
110,3795.17,0.47494,0.43678,0.94812,0.95323,0.9504,0.98936,0.94262,0.33795,0.42279,0.859,0.000512594,0.000512594,0.000512594
111,3831.94,0.44672,0.465,0.93276,0.99052,0.90794,0.99233,0.94032,0.34648,0.43081,0.86411,0.000511562,0.000511562,0.000511562
112,3868.85,0.46146,0.44911,0.9323,0.97213,0.97613,0.995,0.9433,0.33772,0.39157,0.85582,0.000510531,0.000510531,0.000510531
113,3905.28,0.4786,0.48705,0.92815,0.98667,0.99633,0.995,0.93784,0.32392,0.32623,0.85484,0.0005095,0.0005095,0.0005095
114,3942.12,0.48231,0.46964,0.91094,0.98168,0.98422,0.995,0.92977,0.34942,0.33792,0.86439,0.000508469,0.000508469,0.000508469
115,3978.63,0.44545,0.4783,0.92529,0.98251,0.98218,0.995,0.94186,0.34819,0.34438,0.86681,0.000507438,0.000507438,0.000507438
116,4015.35,0.46965,0.46697,0.93403,0.98313,0.98555,0.995,0.94345,0.35051,0.34886,0.86058,0.000506406,0.000506406,0.000506406
117,4052.42,0.46831,0.44734,0.91461,0.9783,0.96471,0.995,0.94918,0.35734,0.37173,0.85985,0.000505375,0.000505375,0.000505375
118,4089.67,0.51703,0.46279,0.96568,0.9667,0.99558,0.995,0.95064,0.33905,0.32906,0.85501,0.000504344,0.000504344,0.000504344
119,4126.34,0.40373,0.40896,0.91532,0.98188,0.98903,0.995,0.95119,0.32856,0.31194,0.85293,0.000503313,0.000503313,0.000503313
120,4163.38,0.47631,0.42637,0.94184,0.97246,0.98443,0.99375,0.96007,0.31084,0.32983,0.8491,0.000502281,0.000502281,0.000502281
121,4199.93,0.45565,0.50188,0.93129,0.97396,0.98668,0.99375,0.94861,0.32922,0.32246,0.85342,0.00050125,0.00050125,0.00050125
122,4236.37,0.4313,0.45931,0.93879,0.99,0.98296,0.995,0.95851,0.32972,0.33409,0.85262,0.000500219,0.000500219,0.000500219
123,4273.08,0.50598,0.49715,0.96011,0.98996,0.98048,0.995,0.95919,0.31028,0.32128,0.84842,0.000499187,0.000499187,0.000499187
124,4309.52,0.48832,0.51022,0.95413,0.97876,1,0.995,0.95903,0.322,0.31837,0.85236,0.000498156,0.000498156,0.000498156
125,4345.97,0.48797,0.53696,0.9557,0.99261,0.98925,0.995,0.94793,0.31488,0.30817,0.85268,0.000497125,0.000497125,0.000497125
126,4382.33,0.4411,0.43466,0.90464,0.98848,0.99222,0.995,0.94625,0.3563,0.32297,0.85922,0.000496094,0.000496094,0.000496094
127,4418.87,0.43776,0.43267,0.93511,0.98786,0.98768,0.995,0.95383,0.33557,0.34147,0.85991,0.000495063,0.000495063,0.000495063
128,4455.52,0.43788,0.41725,0.93249,0.97115,0.98501,0.99375,0.93699,0.37667,0.34881,0.86908,0.000494031,0.000494031,0.000494031
129,4492.22,0.40719,0.41142,0.90978,0.98835,0.98578,0.995,0.954,0.32768,0.30007,0.85671,0.000493,0.000493,0.000493
130,4529.52,0.43482,0.3918,0.93235,0.98404,0.99647,0.995,0.94683,0.34703,0.28874,0.85987,0.000491969,0.000491969,0.000491969
131,4567.19,0.42336,0.39718,0.9136,0.9825,0.99883,0.995,0.94512,0.35459,0.33222,0.86674,0.000490937,0.000490937,0.000490937
132,4604.76,0.40291,0.37752,0.89391,0.94395,0.97293,0.99317,0.9494,0.35697,0.38676,0.86528,0.000489906,0.000489906,0.000489906
133,4642.16,0.43644,0.38258,0.91892,0.94538,0.96914,0.99317,0.93334,0.35787,0.36268,0.86413,0.000488875,0.000488875,0.000488875
134,4679.65,0.40902,0.38449,0.90579,0.98301,0.99205,0.995,0.94226,0.34097,0.30373,0.85702,0.000487844,0.000487844,0.000487844
135,4718.05,0.45755,0.4121,0.92031,0.99341,0.97179,0.995,0.95933,0.33061,0.31737,0.85366,0.000486812,0.000486812,0.000486812
136,4755.92,0.42688,0.37239,0.91352,0.98013,0.99238,0.995,0.93656,0.37344,0.30373,0.86408,0.000485781,0.000485781,0.000485781
137,4793.93,0.51587,0.41326,1.00031,0.98978,0.99241,0.995,0.95225,0.33118,0.28837,0.85633,0.00048475,0.00048475,0.00048475
138,4832.1,0.47289,0.43925,0.94195,0.9701,0.95283,0.99028,0.93995,0.33973,0.34664,0.86014,0.000483719,0.000483719,0.000483719
139,4869.48,0.46463,0.40481,0.92585,0.96931,0.98015,0.98806,0.93891,0.33717,0.32719,0.85857,0.000482687,0.000482687,0.000482687
140,4906.39,0.42599,0.39543,0.93643,0.96249,0.98601,0.99278,0.93707,0.33126,0.32443,0.85569,0.000481656,0.000481656,0.000481656
